workload,policy,system,avg_waiting_time,avg_system_time,avg_queue_length,sla_violation_rate,avg_active_servers,server_hours
bursty,balanced,static_c6,0.0033714271351958573,0.20251235739552556,0.02451123720029957,0.0,6.0,1500.0
bursty,balanced,dynamic,1.971047576820114,2.1703226794656176,14.313474664699784,0.3273825576485006,2.871600000000001,717.9
bursty,aggressive,static_c2,4.808761713700045,5.008551826037257,35.16358113557175,0.7172225463387426,2.0,500.0
bursty,aggressive,static_c6,0.0033714271351958573,0.20251235739552556,0.02451123720029957,0.0,6.0,1500.0
bursty,aggressive,dynamic,1.06251360418809,1.2623201455920026,7.743956326253007,0.22684864086472728,3.3316000000000003,832.9
bursty,conservative,static_c2,4.808761713700045,5.008551826037257,35.16358113557175,0.7172225463387426,2.0,500.0
bursty,conservative,static_c6,0.0033714271351958573,0.20251235739552556,0.02451123720029957,0.0,6.0,1500.0
bursty,conservative,dynamic,2.364666193304066,2.564592991259633,17.241090673694025,0.3687592907231108,2.7756000000000007,693.9
bursty,queue_priority,static_c2,4.808761713700045,5.008551826037257,35.16358113557175,0.7172225463387426,2.0,500.0
bursty,queue_priority,static_c6,0.0033714271351958573,0.20251235739552556,0.02451123720029957,0.0,6.0,1500.0
bursty,queue_priority,dynamic,1.9926938830705578,2.1920802094792378,14.477220429594604,0.33865209099785887,2.7996000000000003,699.9
bursty,fast_response,static_c2,4.808761713700045,5.008551826037257,35.16358113557175,0.7172225463387426,2.0,500.0
bursty,fast_response,static_c6,0.0033714271351958573,0.20251235739552556,0.02451123720029957,0.0,6.0,1500.0
bursty,fast_response,dynamic,1.0657346947237503,1.265842098597018,7.779760756309661,0.22761613509998518,3.2599999999999976,815.0
