workload,workload_label,policy,policy_label,system,system_label,metric,mean,stddev,ci95,repetitions
step_spike,Step spike,conservative,Conservative,dynamic,Dynamic - Conservative,avg_waiting_time,3.027278530287523,1.8633283210673937,0.3652123509292092,100
step_spike,Step spike,conservative,Conservative,dynamic,Dynamic - Conservative,avg_system_time,3.22737534002598,1.8632832584541787,0.365203518657019,100
step_spike,Step spike,conservative,Conservative,dynamic,Dynamic - Conservative,avg_queue_length,21.104213363366004,13.102474780263595,2.5680850569316647,100
step_spike,Step spike,conservative,Conservative,dynamic,Dynamic - Conservative,avg_utilization,0.524188061731796,0.03222060545977059,0.0063152386701150354,100
step_spike,Step spike,conservative,Conservative,dynamic,Dynamic - Conservative,sla_violations,963.62,287.383451299493,56.32715645470063,100
step_spike,Step spike,conservative,Conservative,dynamic,Dynamic - Conservative,sla_violation_rate,0.5530730256815403,0.16385365483410316,0.03211531634748422,100
step_spike,Step spike,conservative,Conservative,dynamic,Dynamic - Conservative,avg_active_servers,2.7636000000000007,0.23031607618552158,0.04514195093236223,100
step_spike,Step spike,conservative,Conservative,dynamic,Dynamic - Conservative,server_hours,690.9,57.57901904638036,11.285487733090552,100
step_spike,Step spike,conservative,Conservative,dynamic,Dynamic - Conservative,scale_up_events,3.08,0.5445784209511575,0.10673737050642687,100
step_spike,Step spike,conservative,Conservative,dynamic,Dynamic - Conservative,scale_down_events,2.98,0.5314360191257668,0.10416145974865028,100
step_spike,Step spike,queue_priority,Queue-priority,static_c2,Static c=2,avg_waiting_time,14.378929678510701,1.8983498266467271,0.3720765660227585,100
step_spike,Step spike,queue_priority,Queue-priority,static_c2,Static c=2,avg_system_time,14.578907120623796,1.9012084498977289,0.37263685617995485,100
step_spike,Step spike,queue_priority,Queue-priority,static_c2,Static c=2,avg_queue_length,100.31130434600743,14.5837629535125,2.85841753888845,100
step_spike,Step spike,queue_priority,Queue-priority,static_c2,Static c=2,avg_utilization,0.6966535009559152,0.02487947594755676,0.004876377285721125,100
step_spike,Step spike,queue_priority,Queue-priority,static_c2,Static c=2,sla_violations,1201.79,64.84111038499879,12.708857635459761,100
step_spike,Step spike,queue_priority,Queue-priority,static_c2,Static c=2,sla_violation_rate,0.6898486743799928,0.026599287042966976,0.005213460260421527,100
step_spike,Step spike,queue_priority,Queue-priority,static_c2,Static c=2,avg_active_servers,2.0,0.0,0.0,100
step_spike,Step spike,queue_priority,Queue-priority,static_c2,Static c=2,server_hours,500.0,0.0,0.0,100
step_spike,Step spike,queue_priority,Queue-priority,static_c2,Static c=2,scale_up_events,0.0,0.0,0.0,100
step_spike,Step spike,queue_priority,Queue-priority,static_c2,Static c=2,scale_down_events,0.0,0.0,0.0,100
step_spike,Step spike,queue_priority,Queue-priority,static_c6,Static c=6,avg_waiting_time,0.008736613859507374,0.0034545743760873134,0.0006770965777131134,100
step_spike,Step spike,queue_priority,Queue-priority,static_c6,Static c=6,avg_system_time,0.20951920246410907,0.006564027804923327,0.001286549449764972,100
step_spike,Step spike,queue_priority,Queue-priority,static_c6,Static c=6,avg_queue_length,0.061300927641358284,0.024703885705169258,0.004841961598213174,100
step_spike,Step spike,queue_priority,Queue-priority,static_c6,Static c=6,avg_utilization,0.23419074851495175,0.008088430280738348,0.0015853323350247164,100
step_spike,Step spike,queue_priority,Queue-priority,static_c6,Static c=6,sla_violations,0.0,0.0,0.0,100
step_spike,Step spike,queue_priority,Queue-priority,static_c6,Static c=6,sla_violation_rate,0.0,0.0,0.0,100
step_spike,Step spike,queue_priority,Queue-priority,static_c6,Static c=6,avg_active_servers,6.0,0.0,0.0,100
step_spike,Step spike,queue_priority,Queue-priority,static_c6,Static c=6,server_hours,1500.0,0.0,0.0,100
step_spike,Step spike,queue_priority,Queue-priority,static_c6,Static c=6,scale_up_events,0.0,0.0,0.0,100
step_spike,Step spike,queue_priority,Queue-priority,static_c6,Static c=6,scale_down_events,0.0,0.0,0.0,100
step_spike,Step spike,queue_priority,Queue-priority,dynamic,Dynamic - Queue-priority,avg_waiting_time,1.5304345341570385,1.255923156962984,0.24616093876474485,100
step_spike,Step spike,queue_priority,Queue-priority,dynamic,Dynamic - Queue-priority,avg_system_time,1.7302107633385457,1.2560228904930917,0.24618048653664598,100
step_spike,Step spike,queue_priority,Queue-priority,dynamic,Dynamic - Queue-priority,avg_queue_length,10.618712198890675,8.685917550831078,1.7024398399628915,100
step_spike,Step spike,queue_priority,Queue-priority,dynamic,Dynamic - Queue-priority,avg_utilization,0.503538024645419,0.02629043955310732,0.0051529261524090346,100
step_spike,Step spike,queue_priority,Queue-priority,dynamic,Dynamic - Queue-priority,sla_violations,619.42,326.2248149650635,63.94006373315244,100
step_spike,Step spike,queue_priority,Queue-priority,dynamic,Dynamic - Queue-priority,sla_violation_rate,0.3563295310217275,0.18867680449471017,0.03698065368096319,100
step_spike,Step spike,queue_priority,Queue-priority,dynamic,Dynamic - Queue-priority,avg_active_servers,2.7476,0.17100487322490734,0.03351695515208184,100
step_spike,Step spike,queue_priority,Queue-priority,dynamic,Dynamic - Queue-priority,server_hours,686.9,42.75121830622683,8.379238788020459,100
step_spike,Step spike,queue_priority,Queue-priority,dynamic,Dynamic - Queue-priority,scale_up_events,3.8,0.4494665749754947,0.08809544869519695,100
step_spike,Step spike,queue_priority,Queue-priority,dynamic,Dynamic - Queue-priority,scale_down_events,4.45,0.641573192719398,0.12574834577300203,100
step_spike,Step spike,fast_response,Fast-response,static_c2,Static c=2,avg_waiting_time,14.378929678510701,1.8983498266467271,0.3720765660227585,100
step_spike,Step spike,fast_response,Fast-response,static_c2,Static c=2,avg_system_time,14.578907120623796,1.9012084498977289,0.37263685617995485,100
step_spike,Step spike,fast_response,Fast-response,static_c2,Static c=2,avg_queue_length,100.31130434600743,14.5837629535125,2.85841753888845,100
step_spike,Step spike,fast_response,Fast-response,static_c2,Static c=2,avg_utilization,0.6966535009559152,0.02487947594755676,0.004876377285721125,100
step_spike,Step spike,fast_response,Fast-response,static_c2,Static c=2,sla_violations,1201.79,64.84111038499879,12.708857635459761,100
step_spike,Step spike,fast_response,Fast-response,static_c2,Static c=2,sla_violation_rate,0.6898486743799928,0.026599287042966976,0.005213460260421527,100
step_spike,Step spike,fast_response,Fast-response,static_c2,Static c=2,avg_active_servers,2.0,0.0,0.0,100
step_spike,Step spike,fast_response,Fast-response,static_c2,Static c=2,server_hours,500.0,0.0,0.0,100
step_spike,Step spike,fast_response,Fast-response,static_c2,Static c=2,scale_up_events,0.0,0.0,0.0,100
step_spike,Step spike,fast_response,Fast-response,static_c2,Static c=2,scale_down_events,0.0,0.0,0.0,100
step_spike,Step spike,fast_response,Fast-response,static_c6,Static c=6,avg_waiting_time,0.008736613859507374,0.0034545743760873134,0.0006770965777131134,100
step_spike,Step spike,fast_response,Fast-response,static_c6,Static c=6,avg_system_time,0.20951920246410907,0.006564027804923327,0.001286549449764972,100
step_spike,Step spike,fast_response,Fast-response,static_c6,Static c=6,avg_queue_length,0.061300927641358284,0.024703885705169258,0.004841961598213174,100
step_spike,Step spike,fast_response,Fast-response,static_c6,Static c=6,avg_utilization,0.23419074851495175,0.008088430280738348,0.0015853323350247164,100
step_spike,Step spike,fast_response,Fast-response,static_c6,Static c=6,sla_violations,0.0,0.0,0.0,100
step_spike,Step spike,fast_response,Fast-response,static_c6,Static c=6,sla_violation_rate,0.0,0.0,0.0,100
step_spike,Step spike,fast_response,Fast-response,static_c6,Static c=6,avg_active_servers,6.0,0.0,0.0,100
step_spike,Step spike,fast_response,Fast-response,static_c6,Static c=6,server_hours,1500.0,0.0,0.0,100
step_spike,Step spike,fast_response,Fast-response,static_c6,Static c=6,scale_up_events,0.0,0.0,0.0,100
step_spike,Step spike,fast_response,Fast-response,static_c6,Static c=6,scale_down_events,0.0,0.0,0.0,100
step_spike,Step spike,fast_response,Fast-response,dynamic,Dynamic - Fast-response,avg_waiting_time,0.4347392501302788,0.18967019399588858,0.03717535802319416,100
step_spike,Step spike,fast_response,Fast-response,dynamic,Dynamic - Fast-response,avg_system_time,0.6346586078461163,0.19065437811246547,0.037368258110043226,100
step_spike,Step spike,fast_response,Fast-response,dynamic,Dynamic - Fast-response,avg_queue_length,3.037333444380384,1.3502664078783433,0.2646522159441553,100
step_spike,Step spike,fast_response,Fast-response,dynamic,Dynamic - Fast-response,avg_utilization,0.44852285108809686,0.022057618744958277,0.004323293274011822,100
step_spike,Step spike,fast_response,Fast-response,dynamic,Dynamic - Fast-response,sla_violations,262.73,136.8583913866055,26.824244711774675,100
step_spike,Step spike,fast_response,Fast-response,dynamic,Dynamic - Fast-response,sla_violation_rate,0.15044528043347405,0.07732033422470153,0.015154785508041498,100
step_spike,Step spike,fast_response,Fast-response,dynamic,Dynamic - Fast-response,avg_active_servers,3.0767999999999995,0.15813866821191583,0.030995178969535502,100
step_spike,Step spike,fast_response,Fast-response,dynamic,Dynamic - Fast-response,server_hours,769.2,39.53466705297895,7.748794742383875,100
step_spike,Step spike,fast_response,Fast-response,dynamic,Dynamic - Fast-response,scale_up_events,4.7,0.5595813731096786,0.109677949129497,100
step_spike,Step spike,fast_response,Fast-response,dynamic,Dynamic - Fast-response,scale_down_events,5.43,0.728288432150367,0.14274453270147192,100
gradual_ramp,Gradual ramp,balanced,Balanced,static_c2,Static c=2,avg_waiting_time,0.66864414432608,0.3813925280031858,0.07475293548862441,100
gradual_ramp,Gradual ramp,balanced,Balanced,static_c2,Static c=2,avg_system_time,0.8681976422421311,0.3836000492177246,0.07518560964667402,100
gradual_ramp,Gradual ramp,balanced,Balanced,static_c2,Static c=2,avg_queue_length,4.181239569524829,2.448238913022581,0.4798548269524258,100
gradual_ramp,Gradual ramp,balanced,Balanced,static_c2,Static c=2,avg_utilization,0.5893201460477807,0.01993153632940239,0.003906581120562869,100
gradual_ramp,Gradual ramp,balanced,Balanced,static_c2,Static c=2,sla_violations,304.24,135.49006598196775,26.55605293246568,100
gradual_ramp,Gradual ramp,balanced,Balanced,static_c2,Static c=2,sla_violation_rate,0.2058561478442771,0.09117078883088084,0.017869474610852646,100
gradual_ramp,Gradual ramp,balanced,Balanced,static_c2,Static c=2,avg_active_servers,2.0,0.0,0.0,100
gradual_ramp,Gradual ramp,balanced,Balanced,static_c2,Static c=2,server_hours,500.0,0.0,0.0,100
gradual_ramp,Gradual ramp,balanced,Balanced,static_c2,Static c=2,scale_up_events,0.0,0.0,0.0,100
gradual_ramp,Gradual ramp,balanced,Balanced,static_c2,Static c=2,scale_down_events,0.0,0.0,0.0,100
gradual_ramp,Gradual ramp,balanced,Balanced,static_c6,Static c=6,avg_waiting_time,0.0003929944580843775,0.00040285521037319725,7.895962123314666e-05,100
gradual_ramp,Gradual ramp,balanced,Balanced,static_c6,Static c=6,avg_system_time,0.20023063814686218,0.005549092981481072,0.00108762222437029,100
gradual_ramp,Gradual ramp,balanced,Balanced,static_c6,Static c=6,avg_queue_length,0.0023820106152585663,0.0024274800394022368,0.0004757860877228384,100
gradual_ramp,Gradual ramp,balanced,Balanced,static_c6,Static c=6,avg_utilization,0.2005010857640393,0.007798966246015366,0.0015285973842190117,100
gradual_ramp,Gradual ramp,balanced,Balanced,static_c6,Static c=6,sla_violations,0.0,0.0,0.0,100
gradual_ramp,Gradual ramp,balanced,Balanced,static_c6,Static c=6,sla_violation_rate,0.0,0.0,0.0,100
gradual_ramp,Gradual ramp,balanced,Balanced,static_c6,Static c=6,avg_active_servers,6.0,0.0,0.0,100
gradual_ramp,Gradual ramp,balanced,Balanced,static_c6,Static c=6,server_hours,1500.0,0.0,0.0,100
gradual_ramp,Gradual ramp,balanced,Balanced,static_c6,Static c=6,scale_up_events,0.0,0.0,0.0,100
gradual_ramp,Gradual ramp,balanced,Balanced,static_c6,Static c=6,scale_down_events,0.0,0.0,0.0,100
gradual_ramp,Gradual ramp,balanced,Balanced,dynamic,Dynamic - Balanced,avg_waiting_time,0.12584847475936534,0.043769864813966976,0.008578893503537527,100
gradual_ramp,Gradual ramp,balanced,Balanced,dynamic,Dynamic - Balanced,avg_system_time,0.32503143675788104,0.04451102741346962,0.008724161373040046,100
gradual_ramp,Gradual ramp,balanced,Balanced,dynamic,Dynamic - Balanced,avg_queue_length,0.7540675018306322,0.26044128807887357,0.051046492463459214,100
gradual_ramp,Gradual ramp,balanced,Balanced,dynamic,Dynamic - Balanced,avg_utilization,0.5439897521784832,0.02928025034744287,0.005738929068098803,100
gradual_ramp,Gradual ramp,balanced,Balanced,dynamic,Dynamic - Balanced,sla_violations,34.55,30.449287198702876,5.968060290945763,100
gradual_ramp,Gradual ramp,balanced,Balanced,dynamic,Dynamic - Balanced,sla_violation_rate,0.023090635253090006,0.020358101686785406,0.00399018793060994,100
gradual_ramp,Gradual ramp,balanced,Balanced,dynamic,Dynamic - Balanced,avg_active_servers,2.1720000000000015,0.127825638818642,0.025053825208453832,100
gradual_ramp,Gradual ramp,balanced,Balanced,dynamic,Dynamic - Balanced,server_hours,543.0,31.956409704660523,6.263456302113463,100
gradual_ramp,Gradual ramp,balanced,Balanced,dynamic,Dynamic - Balanced,scale_up_events,2.21,0.5737524894864676,0.11245548793934765,100
gradual_ramp,Gradual ramp,balanced,Balanced,dynamic,Dynamic - Balanced,scale_down_events,0.94,0.3120476524086303,0.06116133987209153,100
gradual_ramp,Gradual ramp,aggressive,Aggressive,static_c2,Static c=2,avg_waiting_time,0.66864414432608,0.3813925280031858,0.07475293548862441,100
gradual_ramp,Gradual ramp,aggressive,Aggressive,static_c2,Static c=2,avg_system_time,0.8681976422421311,0.3836000492177246,0.07518560964667402,100
gradual_ramp,Gradual ramp,aggressive,Aggressive,static_c2,Static c=2,avg_queue_length,4.181239569524829,2.448238913022581,0.4798548269524258,100
gradual_ramp,Gradual ramp,aggressive,Aggressive,static_c2,Static c=2,avg_utilization,0.5893201460477807,0.01993153632940239,0.003906581120562869,100
gradual_ramp,Gradual ramp,aggressive,Aggressive,static_c2,Static c=2,sla_violations,304.24,135.49006598196775,26.55605293246568,100
gradual_ramp,Gradual ramp,aggressive,Aggressive,static_c2,Static c=2,sla_violation_rate,0.2058561478442771,0.09117078883088084,0.017869474610852646,100
gradual_ramp,Gradual ramp,aggressive,Aggressive,static_c2,Static c=2,avg_active_servers,2.0,0.0,0.0,100
gradual_ramp,Gradual ramp,aggressive,Aggressive,static_c2,Static c=2,server_hours,500.0,0.0,0.0,100
gradual_ramp,Gradual ramp,aggressive,Aggressive,static_c2,Static c=2,scale_up_events,0.0,0.0,0.0,100
gradual_ramp,Gradual ramp,aggressive,Aggressive,static_c2,Static c=2,scale_down_events,0.0,0.0,0.0,100
