workload,workload_label,policy,policy_label,system,system_label,time,lambda,utilization,avg_queue_length,avg_active_servers,avg_waiting_time
step_spike,Step spike,aggressive,Aggressive,static_c6,Static c=6,80.0,8.0,0.26890672146584527,0.0012131254750895552,6.0,0.00013948955042432222
step_spike,Step spike,aggressive,Aggressive,static_c6,Static c=6,90.0,8.0,0.27183985809041844,0.0014467200675287444,6.0,0.00016855770881970297
step_spike,Step spike,aggressive,Aggressive,static_c6,Static c=6,100,8.0,0.26648907437629166,0.0017666279349361253,6.0,0.00021742730732488274
step_spike,Step spike,aggressive,Aggressive,static_c6,Static c=6,110.0,18.0,0.5996774107852691,0.33492063402657346,6.0,0.017994727715152047
step_spike,Step spike,aggressive,Aggressive,static_c6,Static c=6,120.0,18.0,0.6023757005699684,0.29494650890128615,6.0,0.01590129018403127
step_spike,Step spike,aggressive,Aggressive,static_c6,Static c=6,130.0,18.0,0.5932736351301517,0.2573494813419247,6.0,0.013911558100598487
step_spike,Step spike,aggressive,Aggressive,static_c6,Static c=6,140.0,18.0,0.6068253666980487,0.35489390679385885,6.0,0.01916291295898198
step_spike,Step spike,aggressive,Aggressive,static_c6,Static c=6,150,18.0,0.5891701131567306,0.27812357248042013,6.0,0.015262144907301545
step_spike,Step spike,aggressive,Aggressive,static_c6,Static c=6,160.0,5.0,0.17957324133967922,0.004030704754468245,6.0,0.0016146647424116647
step_spike,Step spike,aggressive,Aggressive,static_c6,Static c=6,170.0,5.0,0.1698243899244744,2.7380898021334587e-05,6.0,4.3461742891007285e-06
step_spike,Step spike,aggressive,Aggressive,static_c6,Static c=6,180.0,5.0,0.16982496328624383,0.0001013796217490892,6.0,1.823915982293324e-05
step_spike,Step spike,aggressive,Aggressive,static_c6,Static c=6,190.0,5.0,0.16789874084437795,6.0113927373919294e-05,6.0,1.0169985473962407e-05
step_spike,Step spike,aggressive,Aggressive,static_c6,Static c=6,200,5.0,0.1682993824644088,0.0,6.0,0.0
step_spike,Step spike,aggressive,Aggressive,static_c6,Static c=6,210.0,2.0,0.07036698774975944,0.0,6.0,0.0
step_spike,Step spike,aggressive,Aggressive,static_c6,Static c=6,220.0,2.0,0.06876493090221808,0.0,6.0,0.0
step_spike,Step spike,aggressive,Aggressive,static_c6,Static c=6,230.0,2.0,0.06437426705820411,0.0,6.0,0.0
step_spike,Step spike,aggressive,Aggressive,static_c6,Static c=6,240.0,2.0,0.0603743514938374,0.0,6.0,0.0
step_spike,Step spike,aggressive,Aggressive,static_c6,Static c=6,250.0,2.0,0.0649539669758269,0.0,6.0,0.0
step_spike,Step spike,aggressive,Aggressive,dynamic,Dynamic - Aggressive,10.0,2.0,0.1998469789435168,0.0158877003220824,2.0,0.006703313575966509
step_spike,Step spike,aggressive,Aggressive,dynamic,Dynamic - Aggressive,20.0,2.0,0.25306521719914216,0.06325963720502609,1.67,0.029728137972081653
step_spike,Step spike,aggressive,Aggressive,dynamic,Dynamic - Aggressive,30.0,2.0,0.2858364917054834,0.12556792328406124,1.48,0.06060954547605779
step_spike,Step spike,aggressive,Aggressive,dynamic,Dynamic - Aggressive,40.0,2.0,0.34464711222567707,0.18725490397392647,1.29,0.08763067395712389
step_spike,Step spike,aggressive,Aggressive,dynamic,Dynamic - Aggressive,50,2.0,0.36340699219840106,0.19285463941499967,1.21,0.08799495672724865
step_spike,Step spike,aggressive,Aggressive,dynamic,Dynamic - Aggressive,60.0,8.0,0.9571995506319376,14.885490460421343,1.11,1.8384755663460615
step_spike,Step spike,aggressive,Aggressive,dynamic,Dynamic - Aggressive,70.0,8.0,0.9243486269719352,19.731157986782588,2.1,2.4593701751035333
